state,GEOID,year,county_name,state_fips,yield_bu_ac,yield_kg_ha
IL,17001,2014,ADAMS,17,50.7,3409.6257
IL,17005,2014,BOND,17,50.2,3376.0002
IL,17007,2014,BOONE,17,57.4,3860.2074
IL,17009,2014,BROWN,17,51.0,3429.801
IL,17011,2014,BUREAU,17,59.9,4028.3349
IL,17013,2014,CALHOUN,17,47.4,3187.6974
IL,17015,2014,CARROLL,17,60.4,4061.9604
IL,17017,2014,CASS,17,53.5,3597.9285
IL,17019,2014,CHAMPAIGN,17,63.8,4290.6138
IL,17021,2014,CHRISTIAN,17,58.0,3900.558
IL,17023,2014,CLARK,17,57.2,3846.7572
IL,17025,2014,CLAY,17,48.2,3241.4982
IL,17027,2014,CLINTON,17,51.6,3470.1516
IL,17029,2014,COLES,17,60.4,4061.9604
IL,17033,2014,CRAWFORD,17,50.2,3376.0002
IL,17035,2014,CUMBERLAND,17,55.0,3698.805
IL,17037,2014,DE KALB,17,60.0,4035.06
IL,17039,2014,DE WITT,17,63.5,4270.4385
IL,17041,2014,DOUGLAS,17,65.8,4425.1158
IL,17045,2014,EDGAR,17,61.4,4129.2114
IL,17047,2014,EDWARDS,17,53.0,3564.303
IL,17049,2014,EFFINGHAM,17,58.8,3954.3588
IL,17051,2014,FAYETTE,17,49.8,3349.0998
IL,17053,2014,FORD,17,58.3,3920.7333
IL,17055,2014,FRANKLIN,17,44.4,2985.9444
IL,17057,2014,FULTON,17,52.5,3530.6775
IL,17059,2014,GALLATIN,17,49.9,3355.8249
IL,17061,2014,GREENE,17,53.7,3611.3787
IL,17063,2014,GRUNDY,17,58.3,3920.7333
IL,17065,2014,HAMILTON,17,46.0,3093.546
IL,17067,2014,HANCOCK,17,52.1,3503.7771
IL,17071,2014,HENDERSON,17,52.7,3544.1277
IL,17073,2014,HENRY,17,57.2,3846.7572
IL,17075,2014,IROQUOIS,17,57.1,3840.0321
IL,17077,2014,JACKSON,17,46.9,3154.0719
IL,17079,2014,JASPER,17,55.3,3718.9803
IL,17081,2014,JEFFERSON,17,45.5,3059.9205
IL,17083,2014,JERSEY,17,50.7,3409.6257
IL,17085,2014,JO DAVIESS,17,55.8,3752.6058
IL,17087,2014,JOHNSON,17,40.0,2690.04
IL,17089,2014,KANE,17,57.1,3840.0321
IL,17091,2014,KANKAKEE,17,53.5,3597.9285
IL,17095,2014,KNOX,17,57.1,3840.0321
IL,17097,2014,LAKE,17,45.0,3026.295
IL,17099,2014,LA SALLE,17,60.4,4061.9604
